t,q0,q1,q2,q3,q4,q5,q6,q7,tau0,tau1,tau2,tau3,tau4,tau5,tau6,tau7,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7
12.439,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.816,0.095,-6.707,4.315,-4.73,-0.007,-5.951,6.084,-2.36,3.0,1.6,3.3,1.15,-0.27,-0.27,1.65
12.489,-1.36,3.56,-22.13,-64.4,1.36,3.66,-22.0,-65.64,4.617,0.068,-6.717,4.462,-4.75,0.072,-5.571,5.972,1.94,-3.27,-3.64,3.04,0.69,-1.12,-1.82,4.23
12.54,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.793,0.211,-6.638,4.343,-4.668,0.083,-5.654,6.047,1.79,-1.12,-2.34,5.78,-1.98,2.06,-0.49,-0.46
12.59,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.871,0.175,-6.511,4.364,-4.637,-0.009,-5.725,6.047,-0.79,-0.44,-0.24,-1.45,0.59,1.12,1.38,1.37
12.64,-1.35,3.57,-22.12,-64.41,1.37,3.65,-22.0,-65.64,4.844,0.115,-6.698,4.411,-4.641,0.133,-5.461,5.977,3.75,-0.06,0.55,-2.1,2.56,-2.62,0.68,-0.83
12.691,-1.37,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.898,0.206,-6.853,4.268,-4.969,-0.038,-5.687,6.061,-5.7,0.52,-0.44,-0.55,0.5,-1.7,-1.01,0.85
12.741,-1.36,3.57,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.824,0.09,-6.649,4.366,-4.938,0.085,-5.743,6.005,0.41,1.49,2.3,-2.53,1.91,0.15,-0.05,-1.1
12.792,-1.36,3.56,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.77,0.19,-6.634,4.317,-4.961,-0.022,-5.568,6.098,2.48,-1.45,1.34,-1.34,1.51,-1.5,-0.53,1.0
12.842,-1.36,3.57,-22.12,-64.41,1.36,3.67,-22.0,-65.64,4.723,0.205,-6.866,4.296,-4.734,0.019,-5.693,5.991,2.37,-0.3,1.69,0.08,-1.2,3.06,1.32,-0.56
12.893,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.82,0.295,-6.565,4.369,-4.793,-0.019,-5.57,6.108,-2.37,0.95,0.15,-4.31,1.03,-1.15,-1.39,3.95
12.943,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.832,0.14,-6.674,4.359,-4.629,0.042,-5.866,6.098,-2.11,0.22,1.82,1.71,-0.23,1.64,0.16,-0.31
12.994,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.551,0.169,-6.607,4.409,-4.941,0.004,-5.77,5.925,-0.79,-0.17,1.05,-1.36,-3.29,-1.29,-0.82,1.64
13.044,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.531,0.213,-6.831,4.261,-5.062,0.055,-5.94,5.925,1.94,3.28,0.21,1.05,-1.31,-1.53,0.1,-0.23
13.095,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.695,0.105,-6.891,4.336,-4.637,0.015,-5.85,6.033,-2.43,-2.94,-2.12,4.11,0.64,0.33,2.07,0.96
13.146,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.875,0.167,-6.802,4.308,-4.75,0.088,-5.603,6.052,1.32,-1.83,0.57,-0.79,0.42,1.22,1.38,-3.19
13.196,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.605,0.207,-6.848,4.343,-4.914,0.054,-6.064,5.836,-1.3,-1.02,0.51,-3.26,-2.55,-1.39,1.4,-6.52
13.247,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.777,0.163,-6.661,4.355,-4.633,0.018,-5.66,5.883,-2.18,1.43,2.35,-3.99,-2.39,0.53,-0.85,3.91
13.297,-1.36,3.57,-22.12,-64.41,1.36,3.65,-22.0,-65.64,4.688,0.071,-6.874,4.305,-4.793,-0.002,-5.781,6.108,-1.05,-0.22,-2.14,-0.76,-0.67,-3.25,-2.26,2.31
13.348,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.559,0.233,-6.911,4.298,-4.969,-0.056,-5.782,6.019,-2.32,0.67,0.35,2.8,-1.76,1.27,-1.72,1.07
13.399,-1.36,3.56,-22.11,-64.42,1.36,3.66,-22.0,-65.64,4.648,0.06,-6.763,4.399,-5.055,0.061,-5.877,6.023,0.05,-1.35,2.13,-4.92,-1.42,0.28,0.0,0.22
13.449,-1.36,3.56,-22.12,-64.41,1.35,3.66,-22.0,-65.64,4.852,0.124,-6.741,4.416,-4.641,-0.014,-5.967,5.962,1.15,-1.4,0.62,-2.56,-3.36,0.96,1.99,-3.95
13.5,-1.37,3.56,-22.12,-64.41,1.37,3.65,-22.0,-65.64,4.629,0.106,-6.691,4.277,-5.09,0.009,-5.905,5.925,-4.05,-1.64,-1.14,0.3,1.65,-3.56,1.49,-1.52
13.55,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.676,0.233,-6.661,4.296,-4.699,0.102,-5.899,6.019,-0.21,-3.46,1.98,-1.15,-0.54,1.8,-1.99,0.55
13.601,-1.35,3.58,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.461,0.047,-6.969,4.287,-4.82,0.118,-5.702,6.098,3.32,4.36,0.21,0.65,-2.56,1.92,1.41,-1.43
13.652,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.539,0.184,-6.645,4.254,-4.82,-0.065,-5.685,6.075,-2.7,3.87,0.89,-0.25,0.52,-1.78,0.16,-0.41
13.702,-1.36,3.57,-22.12,-64.41,1.36,3.65,-22.0,-65.64,4.906,0.239,-6.466,4.35,-4.504,0.061,-5.811,6.066,2.2,3.49,-1.02,5.83,-1.49,-2.62,-0.74,-0.78
13.753,-1.37,3.57,-22.12,-64.41,1.36,3.67,-22.0,-65.64,4.996,0.353,-6.689,4.28,-4.996,0.169,-5.96,5.888,-2.72,0.49,-0.46,-0.13,-2.33,3.07,-1.25,3.8
13.803,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.684,0.225,-6.749,4.355,-4.586,0.069,-5.846,5.972,-2.6,-4.71,0.74,-4.6,-0.35,2.38,1.5,-0.5
13.854,-1.36,3.57,-22.12,-64.41,1.37,3.67,-22.0,-65.64,4.672,0.069,-6.783,4.28,-4.969,0.111,-5.781,5.803,-0.6,2.21,0.91,2.31,1.42,3.2,2.54,-0.5
13.904,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.969,0.121,-6.805,4.38,-4.762,0.076,-5.857,5.991,-0.11,2.36,0.68,0.33,-1.24,0.11,-0.4,0.84
13.955,-1.35,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.754,0.224,-6.653,4.38,-4.922,0.117,-5.754,6.094,3.23,-2.05,-2.04,1.39,-0.23,0.88,0.74,-3.28
14.006,-1.36,3.56,-22.13,-64.4,1.36,3.66,-22.0,-65.64,4.715,0.19,-6.612,4.298,-4.938,0.048,-5.658,6.061,1.73,-2.87,-3.01,4.08,-2.33,-0.35,-1.94,3.37
14.057,-1.35,3.57,-22.12,-64.41,1.37,3.67,-22.0,-65.64,4.625,0.002,-6.704,4.305,-4.902,-0.124,-5.786,6.033,3.3,1.08,-0.92,0.61,2.06,2.17,0.92,-1.91
14.108,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.641,0.188,-6.789,4.385,-4.711,0.011,-6.089,5.934,-1.86,-1.21,-0.46,0.32,-0.44,-1.53,-1.07,3.24
14.158,-1.36,3.57,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.844,0.144,-6.807,4.296,-4.832,0.054,-5.7,6.019,-0.59,2.02,1.36,-3.82,1.95,-1.1,-1.68,-0.99
14.209,-1.36,3.56,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.582,0.106,-6.659,4.369,-4.844,-0.041,-6.016,5.948,-0.8,-1.15,-0.2,2.17,5.34,-0.83,-2.29,1.52
14.259,-1.36,3.56,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.785,0.28,-6.42,4.385,-4.738,-0.086,-5.945,6.037,2.02,-2.1,2.45,-3.02,2.32,-1.66,0.72,-3.85
14.31,-1.36,3.56,-22.12,-64.41,1.36,3.67,-22.0,-65.64,4.75,0.299,-6.844,4.359,-4.648,0.034,-5.835,6.042,-1.28,-1.52,0.1,1.58,-0.82,2.87,0.94,-0.24
14.36,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.707,0.077,-6.668,4.289,-4.605,0.02,-5.6,6.019,0.67,3.29,0.68,0.76,0.44,-1.64,1.3,0.79
14.411,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.48,0.223,-6.736,4.198,-4.488,-0.048,-5.843,5.958,0.43,-2.44,0.06,-1.46,0.95,-0.46,-1.09,2.19
14.461,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.664,0.245,-6.716,4.341,-4.758,0.057,-5.704,6.08,0.87,1.43,-0.01,-0.39,-1.24,0.36,1.26,-1.11
14.512,-1.36,3.56,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.855,0.185,-6.638,4.331,-4.922,0.016,-5.755,5.958,2.97,-4.55,-0.96,1.73,2.52,-0.34,-1.64,3.25
14.562,-1.36,3.56,-22.12,-64.41,1.37,3.67,-22.0,-65.64,4.766,0.221,-6.812,4.221,-4.684,0.048,-5.632,6.005,1.06,-2.66,-1.5,0.87,2.0,3.25,0.07,-0.25
14.612,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.562,0.243,-6.744,4.266,-4.801,0.016,-6.021,5.991,-0.05,1.67,1.78,-6.41,-0.67,-1.46,-2.27,3.25
14.663,-1.36,3.56,-22.12,-64.41,1.37,3.66,-21.98,-65.66,4.707,0.166,-6.809,4.254,-4.848,0.05,-5.595,6.089,0.3,-1.52,0.38,-2.3,1.76,-0.24,3.99,-2.78
14.713,-1.36,3.58,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.688,0.098,-6.633,4.371,-4.777,0.186,-5.834,5.92,1.95,4.44,0.86,2.7,-0.65,1.59,1.17,-0.6
14.764,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.816,0.099,-6.653,4.345,-4.984,-0.01,-6.199,5.859,-0.63,0.4,0.7,-0.97,-3.09,-0.55,1.98,-2.74
14.815,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.836,0.275,-6.737,4.32,-4.777,0.01,-5.828,6.014,-2.51,-2.24,0.72,1.96,1.31,-2.24,-1.82,3.18
14.865,-1.36,3.57,-22.12,-64.41,1.36,3.65,-22.0,-65.64,4.695,0.456,-6.366,4.533,-4.793,0.142,-5.81,5.92,-2.29,1.11,0.85,-2.05,-2.29,-1.77,-1.94,1.64
14.916,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.449,0.199,-6.819,4.413,-4.5,-0.08,-6.04,5.761,0.62,3.29,-1.15,1.35,0.8,-1.85,1.13,-1.49
14.966,-1.36,3.57,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.742,0.165,-6.836,4.28,-4.664,0.077,-6.082,6.023,-2.21,0.25,-0.39,0.79,4.31,1.94,-2.21,2.83
15.017,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.656,0.122,-6.621,4.324,-4.797,-0.026,-5.891,6.009,0.78,-1.68,0.15,-0.44,-1.05,-1.25,0.27,1.89
15.067,-1.36,3.57,-22.12,-64.41,1.36,3.65,-22.0,-65.64,4.602,0.221,-6.82,4.359,-4.805,-0.162,-5.469,6.103,1.95,0.74,-0.25,2.6,-1.11,-2.55,-0.76,-0.02
15.118,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.867,0.267,-6.864,4.345,-4.73,0.004,-5.81,6.084,-2.04,-2.61,-2.07,0.32,0.22,-1.45,-1.01,1.11
15.168,-1.36,3.57,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.566,0.043,-6.84,4.392,-4.641,-0.024,-5.885,5.962,-1.29,0.08,0.2,-0.36,4.58,-0.54,2.41,-1.19
15.219,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.703,0.182,-6.709,4.301,-4.52,-0.013,-5.791,6.009,-2.29,-2.92,0.04,2.02,-0.31,-1.94,-0.99,3.8
15.27,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.652,0.075,-6.545,4.359,-4.625,0.138,-6.009,5.827,1.72,-1.15,1.92,-2.33,0.7,0.6,2.5,-3.4
15.32,-1.36,3.57,-22.12,-64.41,1.37,3.67,-22.0,-65.64,4.828,0.24,-6.763,4.305,-4.809,0.002,-5.767,5.911,1.85,0.04,0.23,0.91,1.94,2.81,0.34,-0.34
15.371,-1.35,3.57,-22.12,-64.41,1.35,3.66,-22.0,-65.64,4.695,0.271,-6.625,4.362,-4.66,-0.106,-5.854,5.953,5.2,3.48,-0.98,0.3,-3.3,-0.54,0.12,-1.63
15.421,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.797,0.179,-6.647,4.404,-4.562,0.124,-5.839,5.967,2.19,-0.09,0.46,-2.97,0.79,-1.31,-0.91,-2.83
15.472,-1.35,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.832,0.194,-6.638,4.448,-4.707,0.009,-5.675,6.061,3.75,-3.12,-0.36,2.75,-0.53,1.91,-1.11,1.97
15.522,-1.36,3.57,-22.11,-64.42,1.36,3.66,-22.0,-65.64,4.887,0.044,-6.652,4.364,-5.023,0.067,-5.7,5.995,-2.13,1.21,2.37,-2.56,-0.77,1.7,1.13,0.07
15.573,-1.36,3.56,-22.12,-64.41,1.35,3.66,-22.0,-65.64,5.031,0.197,-6.892,4.282,-4.887,0.044,-5.852,6.159,-0.02,-1.3,1.47,-2.21,-5.65,0.02,-0.13,2.66
15.623,-1.36,3.56,-22.12,-64.41,1.37,3.67,-22.0,-65.64,4.793,0.224,-6.667,4.32,-4.668,-0.013,-5.576,6.084,-0.88,-2.47,-0.14,1.37,3.53,2.94,-1.84,3.4
15.674,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.91,0.227,-6.444,4.448,-4.746,-0.013,-5.771,6.07,-2.54,0.74,-0.63,-0.65,-3.1,-1.6,-1.47,1.01
15.724,-1.36,3.57,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.605,0.153,-6.64,4.376,-4.801,-0.02,-5.761,5.911,-1.28,0.04,0.46,0.39,2.18,0.98,1.47,-0.72
15.774,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.832,0.191,-6.723,4.369,-4.895,0.087,-5.707,5.93,-0.43,-2.61,1.67,-3.4,-3.07,0.23,-0.62,-1.43
15.825,-1.35,3.56,-22.12,-64.41,1.36,3.65,-22.0,-65.64,4.551,0.299,-7.049,4.23,-4.816,-0.022,-5.75,5.962,3.26,-2.7,-0.5,-0.38,0.27,-3.01,-0.74,1.39
15.875,-1.35,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.512,0.207,-6.799,4.322,-4.723,0.035,-5.498,6.15,4.29,-0.83,-0.18,-1.77,0.71,-0.17,-0.35,3.71
15.926,-1.36,3.57,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.473,0.068,-6.814,4.336,-4.645,-0.097,-5.639,6.08,1.29,1.17,-0.4,1.03,3.82,1.29,0.4,0.67
15.977,-1.36,3.56,-22.12,-64.41,1.36,3.67,-22.0,-65.64,4.555,0.038,-6.832,4.301,-4.98,-0.069,-5.326,6.07,1.83,-1.87,0.83,0.47,-2.54,2.45,-0.81,2.39
16.028,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.82,0.151,-6.582,4.345,-4.945,0.047,-5.868,5.962,-0.83,-1.31,0.83,-1.08,0.56,-0.83,-2.06,2.07
16.078,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.82,0.151,-6.582,4.345,-4.945,0.047,-5.868,5.962,-0.83,-1.31,0.83,-1.08,0.56,-0.83,-2.06,2.07
16.129,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.602,0.155,-6.709,4.324,-4.844,-0.084,-5.871,6.047,1.6,-1.37,-0.18,-1.75,0.34,-0.49,2.22,-1.02
16.179,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,5.109,0.125,-6.581,4.352,-4.762,0.109,-5.583,6.112,1.51,-1.81,-0.01,-3.28,-1.94,0.32,0.54,-3.08
16.23,-1.36,3.57,-22.12,-64.41,1.36,3.67,-22.0,-65.64,4.789,0.158,-6.827,4.282,-4.648,0.083,-5.434,6.103,1.01,0.45,-0.38,-2.7,-2.0,2.7,0.21,2.08
16.28,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.75,0.214,-6.636,4.327,-4.598,0.061,-6.169,5.948,2.44,0.31,-2.21,3.69,0.94,-0.94,2.08,-1.14
16.331,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.641,0.23,-6.684,4.343,-4.746,-0.038,-5.747,5.948,-1.47,2.68,-1.43,2.49,0.62,-1.49,0.48,-0.42
16.381,-1.36,3.56,-22.12,-64.41,1.36,3.65,-22.0,-65.64,4.766,0.099,-6.77,4.298,-4.602,0.103,-5.441,6.084,-2.14,-3.05,-2.54,0.66,-0.5,-2.91,-1.49,4.0
16.432,-1.35,3.56,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.586,0.246,-6.657,4.341,-4.988,0.062,-5.934,5.902,3.31,-1.04,0.73,-3.49,1.99,0.18,-0.1,0.64
16.483,-1.36,3.57,-22.12,-64.41,1.37,3.65,-22.0,-65.64,4.535,0.156,-6.741,4.31,-4.703,0.112,-5.79,6.075,-2.62,1.89,-2.25,5.41,2.34,-5.59,1.24,-3.32
16.533,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.992,0.227,-6.964,4.291,-4.438,0.107,-5.709,6.08,-0.05,0.65,0.73,-0.84,-0.44,1.9,-0.61,-0.68
16.584,-1.36,3.58,-22.12,-64.41,1.35,3.66,-22.0,-65.64,4.57,0.109,-6.824,4.268,-4.57,0.107,-5.73,6.07,-1.36,4.49,0.67,1.46,-5.24,0.43,-1.81,1.67
16.634,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.824,0.337,-6.702,4.32,-4.688,0.053,-5.698,5.962,0.19,1.03,0.51,-0.36,-0.98,-1.23,1.56,-4.58
16.685,-1.36,3.58,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.836,0.18,-6.722,4.317,-4.633,-0.012,-5.947,5.953,2.4,4.27,-0.01,1.84,0.85,0.82,0.65,-3.58
16.736,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.77,0.147,-6.458,4.446,-4.832,0.038,-5.627,6.08,2.21,3.12,-1.24,4.94,-0.54,0.63,-1.21,-2.34
16.787,-1.36,3.56,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.742,0.236,-6.788,4.345,-4.742,-0.003,-5.652,6.155,-1.21,-0.82,-0.0,3.22,1.61,-0.82,-0.01,2.57
16.837,-1.36,3.56,-22.12,-64.41,1.36,3.65,-22.0,-65.64,4.766,0.197,-6.635,4.369,-4.754,0.06,-5.988,6.0,-2.71,-3.15,0.28,2.63,-0.31,-2.81,-3.25,2.77
16.888,-1.36,3.55,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.855,0.171,-6.641,4.287,-4.922,0.002,-5.756,6.009,2.14,-5.72,0.95,-1.61,-1.4,-1.86,-1.54,0.36
16.938,-1.36,3.56,-22.12,-64.41,1.36,3.66,-21.98,-65.66,4.805,0.138,-6.698,4.388,-4.93,0.243,-5.855,6.098,2.58,-1.56,-1.42,2.3,0.12,1.02,3.5,-2.03
16.989,-1.36,3.56,-22.12,-64.41,1.37,3.67,-22.0,-65.64,4.953,0.181,-6.688,4.392,-4.457,0.024,-5.897,6.033,0.88,-2.6,0.78,0.2,5.48,3.31,1.3,1.38
17.04,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.699,0.097,-6.518,4.439,-4.836,0.062,-6.0,5.906,-0.82,-0.57,-1.56,4.37,-2.06,1.38,1.16,-3.57
17.09,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.668,0.269,-6.552,4.282,-4.785,-0.007,-5.741,6.042,2.33,-4.41,0.32,0.38,0.79,1.58,-0.92,0.93
17.141,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.57,0.289,-6.532,4.308,-4.832,0.124,-5.769,6.061,0.53,2.02,-0.89,-1.28,-2.79,0.31,0.13,-1.73
17.191,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.734,0.174,-6.812,4.409,-4.652,0.096,-5.787,5.967,-0.67,-2.74,-1.2,1.0,-0.35,0.26,0.0,-1.49
17.242,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.699,0.276,-6.875,4.24,-4.602,0.091,-5.889,6.0,2.28,1.42,-0.74,1.37,0.23,0.18,2.82,-3.32
17.292,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.613,0.22,-6.816,4.247,-4.543,0.123,-5.782,5.925,1.05,0.56,-0.07,-1.65,-2.05,-0.81,0.23,-1.99
17.343,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.645,0.257,-6.721,4.359,-4.73,0.07,-5.947,5.906,0.44,1.81,-0.17,-2.64,-2.34,0.2,0.39,1.12
17.393,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.766,0.305,-6.633,4.312,-4.855,0.184,-5.658,6.037,-1.09,-2.08,-1.79,3.74,-1.56,2.38,0.12,4.05
17.444,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.73,0.201,-6.813,4.237,-4.656,-0.0,-5.73,5.836,-0.65,2.19,0.83,0.92,-1.9,-1.26,-2.21,0.18
17.494,-1.36,3.57,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.867,0.183,-6.671,4.362,-4.973,0.046,-5.748,5.953,2.62,1.92,-1.31,1.26,2.87,-0.15,0.21,0.65
17.545,-1.36,3.57,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.461,0.092,-6.826,4.312,-4.812,0.002,-5.782,5.948,-0.38,2.17,-0.15,-1.99,5.09,0.05,0.58,-2.35
17.595,-1.36,3.57,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.781,0.138,-6.805,4.357,-4.68,0.023,-5.95,6.009,1.27,1.67,-1.13,3.45,1.89,1.81,0.45,-2.07
17.646,-1.36,3.56,-22.12,-64.41,1.36,3.65,-22.0,-65.64,4.566,0.237,-6.645,4.395,-4.75,-0.032,-6.038,5.869,2.12,-1.48,-0.14,2.0,0.7,-6.08,0.95,-1.49
17.696,-1.35,3.58,-22.12,-64.41,1.37,3.65,-22.0,-65.64,4.656,0.245,-6.945,4.317,-4.613,-0.132,-5.968,6.014,3.44,5.32,-0.31,1.98,4.89,-3.11,-2.2,0.77
17.747,-1.37,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.844,0.298,-6.642,4.303,-4.77,-0.082,-5.959,6.023,-2.95,-3.2,1.15,-0.47,-1.3,-0.63,-0.25,1.44
17.797,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.801,0.031,-6.533,4.371,-4.777,0.014,-5.612,5.995,2.06,3.38,-0.74,-1.05,0.17,1.02,-2.6,-0.04
17.848,-1.36,3.56,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.77,0.147,-6.825,4.378,-4.754,-0.032,-5.674,6.033,-1.02,-1.28,-0.61,0.63,4.24,1.47,-1.52,-2.13
17.899,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.824,0.321,-6.676,4.298,-4.672,0.002,-5.618,6.019,-1.65,-0.22,-0.41,1.14,-2.0,-1.52,-0.85,0.83
17.949,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.656,0.218,-6.797,4.359,-4.578,0.011,-5.653,6.112,-0.68,0.96,-1.48,3.8,-2.34,1.25,1.13,0.49
18.0,-1.36,3.55,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.621,0.173,-6.625,4.409,-4.711,0.032,-5.612,6.042,1.05,-5.14,-1.9,2.87,2.32,0.37,-1.14,0.31
18.05,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.715,0.104,-6.715,4.395,-4.461,-0.052,-5.814,5.958,1.08,-1.49,0.67,-3.14,1.12,1.44,-0.75,-4.65
18.101,-1.36,3.56,-22.12,-64.41,1.37,3.65,-22.0,-65.64,4.676,0.273,-6.616,4.294,-4.965,0.09,-5.797,5.986,-1.14,-2.04,0.66,-0.47,2.54,-3.59,-1.15,2.5
18.151,-1.36,3.57,-22.11,-64.42,1.36,3.66,-22.0,-65.64,4.777,0.231,-6.686,4.277,-4.738,0.055,-5.515,6.052,2.79,0.44,2.68,-1.13,-1.02,1.46,1.36,0.47
18.202,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.914,0.172,-6.554,4.327,-4.891,-0.046,-5.907,6.052,-2.66,1.15,0.89,-1.82,-2.73,-2.32,0.99,-3.35
18.252,-1.36,3.56,-22.12,-64.41,1.36,3.65,-22.0,-65.64,4.668,0.163,-6.745,4.247,-4.855,0.055,-5.714,6.028,-1.39,-1.88,0.77,-3.78,0.34,-5.88,-0.88,1.45
18.303,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.594,0.188,-6.798,4.223,-4.852,0.061,-6.087,5.925,-0.92,-0.96,0.17,-4.2,-0.5,-1.2,-1.78,1.62
18.353,-1.35,3.57,-22.11,-64.42,1.37,3.66,-22.0,-65.64,4.75,0.106,-6.66,4.362,-4.77,0.002,-5.578,5.883,3.05,-0.48,2.69,-1.46,1.91,-1.78,-1.82,0.82
18.404,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.645,0.185,-6.686,4.383,-4.676,0.012,-5.737,6.169,1.89,-2.75,1.42,-3.38,0.8,-1.81,0.8,1.25
18.455,-1.37,3.58,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.613,0.139,-6.694,4.263,-4.703,-0.072,-5.699,5.991,-4.14,4.31,0.95,0.39,0.82,-1.76,-2.02,3.43
18.506,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.934,0.172,-6.643,4.366,-4.664,-0.023,-5.66,5.977,-2.35,-3.1,0.03,-1.84,-0.29,-0.54,0.97,-0.1
18.556,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.672,0.241,-6.645,4.336,-4.84,0.062,-5.934,6.019,-0.7,-3.0,0.3,-3.74,-2.37,2.64,2.18,-1.78
18.608,-1.36,3.57,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.875,0.217,-6.908,4.219,-4.566,0.06,-5.918,6.07,0.52,1.7,-0.56,-0.99,4.0,1.46,0.29,3.41
